ralenet_99_emb_intensity2:snr:13.825654029846191, rmse:0.22936628758907318
testmodel_99_bw_intensity-4:snr:14.737870216369629, rmse:0.2138424515724182
testmodel_99_ma_intensity-4:snr:11.716285705566406, rmse:0.2938089966773987
testmodel_99_em_intensity-4:snr:12.336455345153809, rmse:0.2745532989501953
testmodel_99_emb_intensity-4:snr:12.179604530334473, rmse:0.2828919291496277
testmodel_99_emb_intensity-4:snr:12.179604530334473, rmse:0.2828919291496277
testmodel_99_emb_intensity-2:snr:12.603864669799805, rmse:0.2670297920703888
testmodel_99_emb_intensity0:snr:13.170058250427246, rmse:0.24910491704940796
testmodel_99_emb_intensity2:snr:13.825654029846191, rmse:0.22936628758907318
testmodel_99_emb_intensity4:snr:14.314276695251465, rmse:0.21477238833904266
modelmlp_99_bw_intensity-4:snr:14.737870216369629, rmse:0.2138424515724182
modelmlp_99_ma_intensity-4:snr:11.716285705566406, rmse:0.2938089966773987
modelmlp_99_em_intensity-4:snr:12.336455345153809, rmse:0.2745532989501953
modelmlp_99_emb_intensity-4:snr:12.179604530334473, rmse:0.2828919291496277
modelmlp_99_emb_intensity-4:snr:12.179604530334473, rmse:0.2828919291496277
modelmlp_99_emb_intensity-2:snr:12.603864669799805, rmse:0.2670297920703888
modelmlp_99_emb_intensity0:snr:13.170058250427246, rmse:0.24910491704940796
modelmlp_99_emb_intensity2:snr:13.825654029846191, rmse:0.22936628758907318
modelmlp_99_emb_intensity4:snr:14.314276695251465, rmse:0.21477238833904266
testmodel_99_bw_intensity-4:snr:14.579813003540039, rmse:0.21808287501335144
testmodel_99_ma_intensity-4:snr:11.48119831085205, rmse:0.29954132437705994
testmodel_99_em_intensity-4:snr:11.632011413574219, rmse:0.29220685362815857
testmodel_99_emb_intensity-4:snr:10.849767684936523, rmse:0.31444746255874634
testmodel_99_emb_intensity-4:snr:10.849767684936523, rmse:0.31444746255874634
testmodel_99_emb_intensity-2:snr:11.06308364868164, rmse:0.3059331178665161
testmodel_99_emb_intensity0:snr:12.84218978881836, rmse:0.25399088859558105
testmodel_99_emb_intensity2:snr:13.275537490844727, rmse:0.24005231261253357
testmodel_99_emb_intensity4:snr:13.721536636352539, rmse:0.2265869826078415
modelmlp_99_bw_intensity-4:snr:14.579813003540039, rmse:0.21808287501335144
modelmlp_99_ma_intensity-4:snr:11.48119831085205, rmse:0.29954132437705994
modelmlp_99_em_intensity-4:snr:11.632011413574219, rmse:0.29220685362815857
modelmlp_99_emb_intensity-4:snr:10.849767684936523, rmse:0.31444746255874634
modelmlp_99_emb_intensity-4:snr:10.849767684936523, rmse:0.31444746255874634
modelmlp_99_emb_intensity-2:snr:11.06308364868164, rmse:0.3059331178665161
modelmlp_99_emb_intensity0:snr:12.84218978881836, rmse:0.25399088859558105
modelmlp_99_emb_intensity2:snr:13.275537490844727, rmse:0.24005231261253357
modelmlp_99_emb_intensity4:snr:13.721536636352539, rmse:0.2265869826078415
unet_99_bw_intensity-4:snr:10.707859992980957, rmse:0.3191739022731781
DANet_99_bw_intensity-4:snr:13.099517822265625, rmse:0.24590754508972168
ralenet_99_bw_intensity-4:snr:14.588622093200684, rmse:0.21765172481536865
unet_99_bw_intensity-4:snr:10.707859992980957, rmse:0.3191739022731781
unet_99_ma_intensity-4:snr:8.161117553710938, rmse:0.41258975863456726
unet_99_em_intensity-4:snr:7.901806354522705, rmse:0.42354175448417664
unet_99_emb_intensity-4:snr:7.825168132781982, rmse:0.4297159016132355
unet_99_emb_intensity-4:snr:7.825168132781982, rmse:0.4297159016132355
unet_99_emb_intensity-2:snr:8.502720832824707, rmse:0.39801204204559326
unet_99_emb_intensity0:snr:9.167004585266113, rmse:0.36899691820144653
unet_99_emb_intensity2:snr:9.877472877502441, rmse:0.3401831090450287
unet_99_emb_intensity4:snr:10.664899826049805, rmse:0.3105371594429016
DANet_99_bw_intensity-4:snr:13.099517822265625, rmse:0.24590754508972168
DANet_99_ma_intensity-4:snr:9.301770210266113, rmse:0.3611103296279907
DANet_99_em_intensity-4:snr:9.45940113067627, rmse:0.3583352565765381
DANet_99_emb_intensity-4:snr:9.177123069763184, rmse:0.368979811668396
